Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI CHINA
2017-07-06,7,2,3,0,1,0,46.64693069458008
2017-07-07,7,2,3,0,1,0,46.70712661743164
2017-07-10,7,2,3,0,1,0,46.99952697753906
2017-07-11,7,2,3,0,1,0,47.85954666137695
2017-07-12,7,2,3,0,1,0,48.865753173828125
2017-07-13,7,2,3,0,1,0,48.96895217895508
2017-07-14,7,2,3,0,1,0,49.656959533691406
2017-07-17,7,2,3,0,1,0,49.364559173583984
2017-07-18,7,2,3,0,1,0,49.62256622314453
2017-07-19,7,2,3,0,1,0,50.25896072387695
2017-07-20,7,2,3,0,1,0,50.05257034301758
2017-07-21,7,2,3,0,1,0,50.00096130371094
2017-07-24,7,2,3,0,1,0,50.29336166381836
2017-07-25,7,2,3,0,1,0,50.25896072387695
2017-07-26,7,2,3,0,1,0,50.77496719360352
2017-07-27,7,2,3,0,1,0,50.516971588134766
2017-07-28,7,2,3,0,1,0,50.96417617797852
2017-07-31,7,2,3,0,1,0,51.09317398071289
2017-08-01,8,2,3,0,1,0,51.43717956542969
2017-08-02,8,2,3,0,1,0,51.03297424316406
2017-08-03,8,2,3,0,1,0,51.05877685546875
2017-08-04,8,2,3,0,1,0,51.25657653808594
2017-08-07,8,2,3,0,1,0,51.90158081054688
2017-08-08,8,2,3,0,1,0,52.29719543457031
2017-08-09,8,2,3,0,1,0,52.17678451538086
2017-08-10,8,2,3,0,1,0,50.48257064819336
2017-08-11,8,2,3,0,1,0,50.39657211303711
2017-08-14,8,2,3,0,1,0,51.07598114013672
2017-08-15,8,2,3,0,1,0,51.00717544555664
2017-08-16,8,2,3,0,1,0,51.95318603515625
2017-08-17,8,2,3,0,1,0,51.07598114013672
2017-08-18,8,2,3,0,1,0,51.31678009033203
2017-08-21,8,2,3,0,1,0,51.89298248291016
2017-08-22,8,2,3,0,1,0,52.632598876953125
2017-08-23,8,2,3,0,1,0,52.95940017700195
2017-08-24,8,2,3,0,1,0,52.94219970703125
2017-08-25,8,2,3,0,1,0,53.11419677734375
