Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI INDIA
2017-06-05,6,1,2,0,1,0,29.641263961791992
2017-06-06,6,1,2,0,1,0,29.53338050842285
2017-06-07,6,1,2,0,1,0,29.569339752197266
2017-06-08,6,1,2,0,1,0,29.623279571533203
2017-06-09,6,1,2,0,1,0,29.41650390625
2017-06-12,6,1,2,0,1,0,29.371551513671875
2017-06-13,6,1,2,0,1,0,29.47044944763184
2017-06-14,6,1,2,0,1,0,29.56035423278809
2017-06-15,6,1,2,0,1,0,29.20073127746582
2017-06-16,6,1,2,0,1,0,29.317609786987305
2017-06-19,6,1,2,0,1,0,29.47044944763184
2017-06-20,6,1,2,0,1,0,29.23128700256348
2017-06-21,6,1,2,0,1,0,29.339588165283203
2017-06-22,6,1,2,0,1,0,29.23128700256348
2017-06-23,6,1,2,0,1,0,29.05079841613769
2017-06-26,6,1,2,0,1,0,29.339588165283203
2017-06-27,6,1,2,0,1,0,28.84322166442871
2017-06-28,6,1,2,0,1,0,29.02372169494629
2017-06-29,6,1,2,0,1,0,28.68077850341797
2017-06-30,6,1,2,0,1,0,28.96957015991211
2017-07-03,7,2,3,0,1,0,29.249343872070312
2017-07-05,7,2,3,0,1,0,29.465938568115234
2017-07-06,7,2,3,0,1,0,29.3215389251709
2017-07-07,7,2,3,0,1,0,29.438859939575195
2017-07-10,7,2,3,0,1,0,29.935216903686523
2017-07-11,7,2,3,0,1,0,29.90814971923828
2017-07-12,7,2,3,0,1,0,30.332313537597656
2017-07-13,7,2,3,0,1,0,30.41353988647461
2017-07-14,7,2,3,0,1,0,30.63915634155273
2017-07-17,7,2,3,0,1,0,30.494760513305664
2017-07-18,7,2,3,0,1,0,30.350364685058597
2017-07-19,7,2,3,0,1,0,30.6211051940918
2017-07-20,7,2,3,0,1,0,30.47671127319336
2017-07-21,7,2,3,0,1,0,30.494760513305664
2017-07-24,7,2,3,0,1,0,30.77452850341797
2017-07-25,7,2,3,0,1,0,30.747455596923828
2017-07-26,7,2,3,0,1,0,31.09941864013672
2017-07-27,7,2,3,0,1,0,30.80160522460937
2017-07-28,7,2,3,0,1,0,30.955028533935547
2017-07-31,7,2,3,0,1,0,31.009174346923828
2017-08-01,8,2,3,0,1,0,31.32503890991211
2017-08-02,8,2,3,0,1,0,31.32503890991211
2017-08-03,8,2,3,0,1,0,31.20772171020508
2017-08-04,8,2,3,0,1,0,31.4333438873291
2017-08-07,8,2,3,0,1,0,31.343090057373047
2017-08-08,8,2,3,0,1,0,31.108448028564453
2017-08-09,8,2,3,0,1,0,30.594032287597656
2017-08-10,8,2,3,0,1,0,29.718629837036133
2017-08-11,8,2,3,0,1,0,29.935216903686523
2017-08-14,8,2,3,0,1,0,30.30524063110352
2017-08-15,8,2,3,0,1,0,30.205968856811523
2017-08-16,8,2,3,0,1,0,30.63013458251953
2017-08-17,8,2,3,0,1,0,30.296215057373047
2017-08-18,8,2,3,0,1,0,30.41353988647461
2017-08-21,8,2,3,0,1,0,30.11571884155273
2017-08-22,8,2,3,0,1,0,30.242067337036133
2017-08-23,8,2,3,0,1,0,30.503782272338867
2017-08-24,8,2,3,0,1,0,30.585004806518555
2017-08-25,8,2,3,0,1,0,30.729412078857425
2017-08-28,8,2,3,0,1,0,30.89185333251953
2017-08-29,8,2,3,0,1,0,30.494760513305664
2017-08-30,8,2,3,0,1,0,30.63915634155273
2017-08-31,8,2,3,0,1,0,30.783557891845703
2017-09-01,9,2,3,0,1,0,31.16259002685547
2017-09-05,9,2,3,0,1,0,30.729412078857425
2017-09-06,9,2,3,0,1,0,30.89185333251953
2017-09-07,9,2,3,0,1,0,30.955028533935547
2017-09-08,9,2,3,0,1,0,30.82868003845215
2017-09-11,9,2,3,0,1,0,31.054298400878903
2017-09-12,9,2,3,0,1,0,31.189666748046875
2017-09-13,9,2,3,0,1,0,30.92795181274414
2017-09-14,9,2,3,0,1,0,31.04527282714844
2017-09-15,9,2,3,0,1,0,31.126495361328125
2017-09-18,9,2,3,0,1,0,31.20772171020508
2017-09-19,9,2,3,0,1,0,31.20772171020508
2017-09-20,9,2,3,0,1,0,30.936973571777344
2017-09-21,9,2,3,0,1,0,30.70233154296875
2017-09-22,9,2,3,0,1,0,30.214998245239254
2017-09-25,9,2,3,0,1,0,29.57423210144043
2017-09-26,9,2,3,0,1,0,29.64643096923828
2017-09-27,9,2,3,0,1,0,29.14104461669922
2017-09-28,9,2,3,0,1,0,29.38471221923828
2017-09-29,9,2,3,0,1,0,29.64643096923828
2017-10-02,10,2,4,0,1,0,29.493013381958008
2017-10-03,10,2,4,0,1,0,29.78179931640625
2017-10-04,10,2,4,0,1,0,30.097671508789062
2017-10-05,10,2,4,0,1,0,30.07059860229492
2017-10-06,10,2,4,0,1,0,30.106693267822266
2017-10-09,10,2,4,0,1,0,30.242067337036133
2017-10-10,10,2,4,0,1,0,30.57598876953125
2017-10-11,10,2,4,0,1,0,30.440608978271484
2017-10-12,10,2,4,0,1,0,30.77452850341797
2017-10-13,10,2,4,0,1,0,31.243816375732425
2017-10-16,10,2,4,0,1,0,31.36113739013672
2017-10-17,10,2,4,0,1,0,31.1445426940918
2017-10-18,10,2,4,0,1,0,31.072349548339844
2017-10-19,10,2,4,0,1,0,30.86478042602539
