Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI SOUTH AFRICA
2017-04-07,4,1,2,0,1,0,36.48986053466797
2017-04-10,4,1,2,0,1,0,36.234825134277344
2017-04-11,4,1,2,0,1,0,37.1140251159668
2017-04-12,4,1,2,0,1,0,38.16100311279297
2017-04-13,4,1,2,0,1,0,38.375762939453125
2017-04-17,4,1,2,0,1,0,39.053619384765625
2017-04-18,4,1,2,0,1,0,38.4361686706543
2017-04-19,4,1,2,0,1,0,38.22140502929688
2017-04-20,4,1,2,0,1,0,38.946231842041016
2017-04-21,4,1,2,0,1,0,38.73817825317383
2017-04-24,4,1,2,0,1,0,39.70461654663086
2017-04-25,4,1,2,0,1,0,39.71133041381836
2017-04-26,4,1,2,0,1,0,39.0871696472168
2017-04-27,4,1,2,0,1,0,38.83885192871094
2017-04-28,4,1,2,0,1,0,39.24824523925781
2017-05-01,5,1,2,0,1,0,39.27509307861328
2017-05-02,5,1,2,0,1,0,39.57039642333984
2017-05-03,5,1,2,0,1,0,39.114013671875
2017-05-04,5,1,2,0,1,0,38.08046340942383
2017-05-05,5,1,2,0,1,0,38.84555816650391
2017-05-08,5,1,2,0,1,0,38.31536483764648
2017-05-09,5,1,2,0,1,0,38.852272033691406
2017-05-10,5,1,2,0,1,0,39.530120849609375
2017-05-11,5,1,2,0,1,0,39.68448638916016
2017-05-12,5,1,2,0,1,0,39.73146057128906
2017-05-15,5,1,2,0,1,0,40.42273712158203
2017-05-16,5,1,2,0,1,0,40.8120002746582
2017-05-17,5,1,2,0,1,0,39.88582611083984
2017-05-18,5,1,2,0,1,0,39.26167297363281
2017-05-19,5,1,2,0,1,0,40.32207107543945
2017-05-22,5,1,2,0,1,0,40.469722747802734
2017-05-23,5,1,2,0,1,0,41.33548355102539
2017-05-24,5,1,2,0,1,0,41.78514862060547
2017-05-25,5,1,2,0,1,0,41.45629501342773
2017-05-26,5,1,2,0,1,0,41.67776870727539
2017-05-30,5,1,2,0,1,0,40.73816680908203
2017-05-31,5,1,2,0,1,0,39.91267395019531
2017-06-01,6,1,2,0,1,0,40.617374420166016
2017-06-02,6,1,2,0,1,0,40.704620361328125
2017-06-05,6,1,2,0,1,0,41.07374572753906
2017-06-06,6,1,2,0,1,0,40.114017486572266
2017-06-07,6,1,2,0,1,0,39.82542037963867
2017-06-08,6,1,2,0,1,0,39.36905288696289
2017-06-09,6,1,2,0,1,0,39.42945098876953
2017-06-12,6,1,2,0,1,0,39.4831428527832
2017-06-13,6,1,2,0,1,0,39.62408065795898
2017-06-14,6,1,2,0,1,0,39.89925003051758
2017-06-15,6,1,2,0,1,0,38.73146057128906
2017-06-16,6,1,2,0,1,0,38.852272033691406
2017-06-19,6,1,2,0,1,0,38.852272033691406
2017-06-20,6,1,2,0,1,0,37.89492416381836
2017-06-21,6,1,2,0,1,0,38.32116317749024
2017-06-22,6,1,2,0,1,0,38.53766632080078
2017-06-23,6,1,2,0,1,0,39.1804084777832
