Date,mes,semestre,quadrimestre,covid,trump,guerra_ucrania,MSCI BRAZIL
2016-12-09,12,2,4,0,0,0,20.49553680419922
2016-12-12,12,2,4,0,0,0,20.25198745727539
2016-12-13,12,2,4,0,0,0,20.433090209960938
2016-12-14,12,2,4,0,0,0,19.671218872070312
2016-12-15,12,2,4,0,0,0,19.902278900146484
2016-12-16,12,2,4,0,0,0,19.689956665039062
2016-12-19,12,2,4,0,0,0,19.427669525146484
2016-12-20,12,2,4,0,0,0,19.689956665039062
2016-12-21,12,2,4,0,0,0,19.79429817199707
2016-12-22,12,2,4,0,0,0,19.882837295532227
2016-12-23,12,2,4,0,0,0,20.40773582458496
2016-12-27,12,2,4,0,0,0,20.57215881347656
2016-12-28,12,2,4,0,0,0,20.894685745239254
2016-12-29,12,2,4,0,0,0,21.28677749633789
2016-12-30,12,2,4,0,0,0,21.08441162109375
2017-01-03,1,1,1,0,0,0,21.79270362854004
2017-01-04,1,1,1,0,0,0,22.014047622680664
2017-01-05,1,1,1,0,0,0,22.273334503173828
2017-01-06,1,1,1,0,0,0,22.04566764831543
2017-01-09,1,1,1,0,0,0,22.03933906555176
2017-01-10,1,1,1,0,0,0,22.29230117797852
2017-01-11,1,1,1,0,0,0,22.78557777404785
2017-01-12,1,1,1,0,0,0,23.03221702575684
2017-01-13,1,1,1,0,0,0,22.728662490844727
2017-01-17,1,1,1,0,0,0,22.886762619018555
2017-01-18,1,1,1,0,0,0,22.551593780517575
2017-01-19,1,1,1,0,0,0,22.848817825317383
2017-01-20,1,1,1,0,1,0,23.196645736694336
2017-01-23,1,1,1,0,1,0,23.822725296020508
2017-01-24,1,1,1,0,1,0,23.645652770996094
2017-01-25,1,1,1,0,1,0,24.006122589111328
2017-01-26,1,1,1,0,1,0,23.765811920166016
2017-01-27,1,1,1,0,1,0,23.885967254638672
2017-01-30,1,1,1,0,1,0,23.436962127685547
2017-01-31,1,1,1,0,1,0,23.316802978515625
2017-02-01,2,1,1,0,1,0,23.500194549560547
2017-02-02,2,1,1,0,1,0,23.59506225585937
2017-02-03,2,1,1,0,1,0,23.77845764160156
2017-02-06,2,1,1,0,1,0,23.417984008789062
2017-02-07,2,1,1,0,1,0,23.417984008789062
2017-02-08,2,1,1,0,1,0,23.765811920166016
2017-02-09,2,1,1,0,1,0,23.677268981933597
2017-02-10,2,1,1,0,1,0,24.202171325683597
2017-02-13,2,1,1,0,1,0,24.347620010375977
2017-02-14,2,1,1,0,1,0,24.65117645263672
2017-02-15,2,1,1,0,1,0,25.32152366638184
2017-02-16,2,1,1,0,1,0,24.90414428710937
2017-02-17,2,1,1,0,1,0,24.81559944152832
2017-02-21,2,1,1,0,1,0,25.32784652709961
2017-02-22,2,1,1,0,1,0,25.391090393066406
2017-02-23,2,1,1,0,1,0,25.01165008544922
2017-02-24,2,1,1,0,1,0,24.25908470153809
2017-02-27,2,1,1,0,1,0,24.366594314575195
2017-02-28,2,1,1,0,1,0,23.86067008972168
2017-03-01,3,1,1,0,1,0,24.65117645263672
2017-03-02,3,1,1,0,1,0,23.66462135314941
2017-03-03,3,1,1,0,1,0,24.39822196960449
2017-03-06,3,1,1,0,1,0,24.082014083862305
2017-03-07,3,1,1,0,1,0,23.993471145629883
2017-03-08,3,1,1,0,1,0,23.27885627746582
2017-03-09,3,1,1,0,1,0,22.968978881835938
2017-03-10,3,1,1,0,1,0,23.474903106689453
2017-03-13,3,1,1,0,1,0,23.62035751342773
2017-03-14,3,1,1,0,1,0,23.177675247192383
2017-03-15,3,1,1,0,1,0,24.12628173828125
2017-03-16,3,1,1,0,1,0,23.93655586242676
2017-03-17,3,1,1,0,1,0,23.54446792602539
2017-03-20,3,1,1,0,1,0,24.037742614746094
2017-03-21,3,1,1,0,1,0,23.215620040893555
2017-03-22,3,1,1,0,1,0,23.386363983154297
2017-03-23,3,1,1,0,1,0,23.127077102661133
2017-03-24,3,1,1,0,1,0,23.474903106689453
2017-03-27,3,1,1,0,1,0,23.405336380004883
2017-03-28,3,1,1,0,1,0,23.500194549560547
2017-03-29,3,1,1,0,1,0,24.006122589111328
2017-03-30,3,1,1,0,1,0,23.66462135314941
2017-03-31,3,1,1,0,1,0,23.68992042541504
2017-04-03,4,1,2,0,1,0,23.968181610107425
2017-04-04,4,1,2,0,1,0,24.183198928833008
2017-04-05,4,1,2,0,1,0,23.658300399780277
2017-04-06,4,1,2,0,1,0,23.259885787963867
2017-04-07,4,1,2,0,1,0,23.39901161193848
2017-04-10,4,1,2,0,1,0,23.46225357055664
2017-04-11,4,1,2,0,1,0,23.39901161193848
2017-04-12,4,1,2,0,1,0,23.34842109680176
2017-04-13,4,1,2,0,1,0,22.823524475097656
2017-04-17,4,1,2,0,1,0,23.74683952331543
2017-04-18,4,1,2,0,1,0,23.57608795166016
2017-04-19,4,1,2,0,1,0,23.057512283325195
2017-04-20,4,1,2,0,1,0,22.975303649902344
2017-04-21,4,1,2,0,1,0,22.867794036865234
2017-04-24,4,1,2,0,1,0,23.538145065307617
2017-04-25,4,1,2,0,1,0,23.531818389892575
2017-04-26,4,1,2,0,1,0,23.310476303100582
2017-04-27,4,1,2,0,1,0,23.20929527282715
2017-04-28,4,1,2,0,1,0,23.50652313232422
2017-05-01,5,1,2,0,1,0,23.696250915527344
2017-05-02,5,1,2,0,1,0,24.227468490600582
2017-05-03,5,1,2,0,1,0,23.955530166625977
2017-05-04,5,1,2,0,1,0,23.335771560668945
